House_ID,Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Garage_Size,Has_Pool,Distance_to_Center,Price,City_Houston,City_Los Angeles,City_New York,City_Phoenix,Neighborhood_Rural,Neighborhood_Suburb,Neighborhood_Urban,Condition_Fair,Condition_Good,Condition_Poor
1,3589.0,2,1,1974,2,No,15.15,813550.0,1,0,0,0,0,0,0,0,0,0
2,4462.375,5,3,1979,2,Yes,12.52,348800.0,0,0,0,1,1,0,0,0,1,0
3,517.375,4,3,1960,2,No,21.12,114750.0,0,0,0,0,0,0,0,1,0,0
4,2647.0,5,2,1966,3,No,27.17,458600.0,0,0,0,1,1,0,0,1,0,0
5,2499.0,2,3,1975,3,Yes,24.25,673500.0,0,0,0,1,0,0,1,1,0,0
6,3491.0,4,2,1972,1,Yes,8.6,669500.0,0,1,0,0,0,1,0,0,1,0
7,2668.0,1,2,2005,0,No,26.43,435600.0,0,0,0,0,0,0,1,1,0,0
8,2107.0,3,3,2001,1,Yes,25.09,415900.0,0,0,0,0,0,1,0,0,1,0
9,3146.0,2,2,1997,2,Yes,27.91,525000.0,0,0,0,0,0,1,0,1,0,0
10,1721.0,2,2,1969,1,Yes,14.03,302900.0,0,0,0,1,0,1,0,0,1,0
11,2881.0,2,2,1951,3,Yes,23.17,484700.0,1,0,0,0,0,0,1,0,1,0
12,2904.0,4,2,1980,2,No,17.95,555300.0,0,0,0,0,0,1,0,0,1,0
13,3348.0,1,3,1976,2,No,9.66,558300.0,0,0,0,1,0,0,1,0,1,0
14,2499.0,5,1,1951,0,Yes,29.84,780000.0,0,1,0,0,0,0,0,0,0,0
15,2814.0,1,1,1953,0,No,1.63,464400.0,1,0,0,0,1,0,0,0,1,0
16,2093.0,4,2,1962,2,Yes,5.29,450200.0,0,1,0,0,1,0,0,1,0,0
17,2480.0,2,2,1984,2,Yes,26.83,417100.0,1,0,0,0,0,1,0,0,1,0
18,1085.0,3,2,2021,1,Yes,2.29,295800.0,0,0,0,1,0,0,1,0,0,0
19,1944.0,2,1,2015,2,Yes,26.66,366100.0,0,0,1,0,1,0,0,1,0,0
20,2173.0,5,2,1955,3,No,21.6,409000.0,1,0,0,0,0,0,1,1,0,0
21,2081.0,3,3,1980,1,Yes,1.58,445700.0,0,1,0,0,0,0,1,0,1,0
22,2622.0,2,3,1959,3,No,13.16,470800.0,0,0,0,1,0,1,0,0,1,0
23,1842.0,3,3,1970,3,Yes,22.76,349700.0,1,0,0,0,1,0,0,0,1,0
24,3397.0,1,1,2023,3,No,17.7,589200.0,0,0,1,0,0,1,0,1,0,0
25,2500.0,4,2,1972,2,No,28.11,457800.0,0,0,1,0,0,1,0,1,0,0
26,2493.0,2,2,1952,0,No,26.1,415800.0,0,0,0,0,1,0,0,0,0,0
27,2238.0,5,2,1981,0,No,10.31,485800.0,0,0,0,0,1,0,0,0,0,1
28,2624.0,1,1,1969,3,Yes,3.0,440300.0,0,1,0,0,0,0,0,0,0,1
29,3160.0,2,1,2023,2,No,28.36,540400.0,1,0,0,0,0,0,0,0,1,0
30,1806.0,1,1,1978,1,Yes,15.76,317000.0,1,0,0,0,0,0,1,0,0,0
31,1974.0,5,1,2001,3,No,2.69,442400.0,0,0,0,0,1,0,0,0,1,0
32,2257.0,2,3,1995,1,No,24.59,423900.0,1,0,0,0,0,0,0,0,0,0
33,1423.0,5,1,1983,1,No,26.12,324300.0,1,0,0,0,0,0,1,1,0,0
34,1845.0,3,1,2010,2,Yes,19.36,368000.0,0,0,1,0,0,0,1,1,0,0
35,2119.0,5,1,2021,2,No,13.7,441400.0,0,0,0,0,0,0,1,1,0,0
36,3200.0,3,2,2020,0,Yes,20.03,576600.0,0,0,0,1,0,0,0,0,0,0
37,2710.0,2,2,2019,0,Yes,21.35,488400.0,0,0,0,0,1,0,0,0,1,0
38,2655.0,3,2,1960,2,Yes,26.84,456400.0,0,0,0,1,0,1,0,0,0,1
39,3181.0,2,3,2012,3,No,28.7,537600.0,0,0,1,0,0,0,1,0,1,0
40,2390.0,2,3,1970,0,No,15.67,430900.0,0,1,0,0,0,0,0,1,0,0
41,2812.0,4,1,1952,1,No,24.06,488000.0,1,0,0,0,0,0,0,0,1,0
42,2417.0,2,2,1959,3,No,28.95,369500.0,0,0,1,0,0,1,0,0,0,0
43,2712.0,3,3,1976,1,No,4.96,528200.0,1,0,0,0,0,1,0,1,0,0
44,2034.0,4,2,1961,2,No,1.04,442000.0,0,1,0,0,0,0,0,1,0,0
45,549.0,4,3,1956,1,No,26.13,175300.0,0,1,0,0,1,0,0,1,0,0
46,2393.0,2,3,1966,3,Yes,6.26,439600.0,0,0,1,0,0,1,0,1,0,0
47,3638.0,5,1,2014,2,No,1.75,692000.0,0,1,0,0,0,0,0,1,0,0
48,3241.0,5,1,2013,3,Yes,5.22,657500.0,0,0,0,1,0,1,0,0,1,0
49,3272.0,4,3,1975,1,Yes,11.83,603600.0,0,1,0,0,1,0,0,1,0,0
50,3489.0,2,1,1964,3,No,6.97,602200.0,1,0,0,0,0,0,1,0,0,0
51,2571.0,5,3,1982,2,No,9.5,531300.0,1,0,0,0,0,1,0,1,0,0
52,2658.0,2,3,2011,1,Yes,29.27,485600.0,1,0,0,0,1,0,0,1,0,0
