City,Neighborhood,Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Garage_Size,Has_Pool,Distance_to_Center,Condition,Price
Houston,Downtown,3589.0,2,1,1974,2,No,15.15,Excellent,813550.0
Phoenix,Rural,4462.375,5,3,1979,2,Yes,12.52,Good,348800.0
Chicago,Downtown,517.375,4,3,1960,2,No,21.12,Fair,114750.0
Phoenix,Rural,2647.0,5,2,1966,3,No,27.17,Fair,458600.0
Phoenix,Urban,2499.0,2,3,1975,3,Yes,24.25,Fair,673500.0
Los Angeles,Suburb,3491.0,4,2,1972,1,Yes,8.6,Good,669500.0
Chicago,Urban,2668.0,1,2,2005,0,No,26.43,Fair,435600.0
Chicago,Suburb,2107.0,3,3,2001,1,Yes,25.09,Good,415900.0
Chicago,Suburb,3146.0,2,2,1997,2,Yes,27.91,Fair,525000.0
Phoenix,Suburb,1721.0,2,2,1969,1,Yes,14.03,Good,302900.0
Houston,Urban,2881.0,2,2,1951,3,Yes,23.17,Good,484700.0
Chicago,Suburb,2904.0,4,2,1980,2,No,17.95,Good,555300.0
Phoenix,Urban,3348.0,1,3,1976,2,No,9.66,Good,558300.0
Los Angeles,Downtown,2499.0,5,1,1951,0,Yes,29.84,Excellent,780000.0
Houston,Rural,2814.0,1,1,1953,0,No,1.63,Good,464400.0
Los Angeles,Rural,2093.0,4,2,1962,2,Yes,5.29,Fair,450200.0
Houston,Suburb,2480.0,2,2,1984,2,Yes,26.83,Good,417100.0
Phoenix,Urban,1085.0,3,2,2021,1,Yes,2.29,Excellent,295800.0
New York,Rural,1944.0,2,1,2015,2,Yes,26.66,Fair,366100.0
Houston,Urban,2173.0,5,2,1955,3,No,21.6,Fair,409000.0
Los Angeles,Urban,2081.0,3,3,1980,1,Yes,1.58,Good,445700.0
Phoenix,Suburb,2622.0,2,3,1959,3,No,13.16,Good,470800.0
Houston,Rural,1842.0,3,3,1970,3,Yes,22.76,Good,349700.0
New York,Suburb,3397.0,1,1,2023,3,No,17.7,Fair,589200.0
New York,Suburb,2500.0,4,2,1972,2,No,28.11,Fair,457800.0
Chicago,Rural,2493.0,2,2,1952,0,No,26.1,Excellent,415800.0
Chicago,Rural,2238.0,5,2,1981,0,No,10.31,Poor,485800.0
Los Angeles,Downtown,2624.0,1,1,1969,3,Yes,3.0,Poor,440300.0
Houston,Downtown,3160.0,2,1,2023,2,No,28.36,Good,540400.0
Houston,Urban,1806.0,1,1,1978,1,Yes,15.76,Excellent,317000.0
Chicago,Rural,1974.0,5,1,2001,3,No,2.69,Good,442400.0
Houston,Downtown,2257.0,2,3,1995,1,No,24.59,Excellent,423900.0
Houston,Urban,1423.0,5,1,1983,1,No,26.12,Fair,324300.0
New York,Urban,1845.0,3,1,2010,2,Yes,19.36,Fair,368000.0
Chicago,Urban,2119.0,5,1,2021,2,No,13.7,Fair,441400.0
Phoenix,Downtown,3200.0,3,2,2020,0,Yes,20.03,Excellent,576600.0
Chicago,Rural,2710.0,2,2,2019,0,Yes,21.35,Good,488400.0
Phoenix,Suburb,2655.0,3,2,1960,2,Yes,26.84,Poor,456400.0
New York,Urban,3181.0,2,3,2012,3,No,28.7,Good,537600.0
Los Angeles,Downtown,2390.0,2,3,1970,0,No,15.67,Fair,430900.0
Houston,Downtown,2812.0,4,1,1952,1,No,24.06,Good,488000.0
New York,Suburb,2417.0,2,2,1959,3,No,28.95,Excellent,369500.0
Houston,Suburb,2712.0,3,3,1976,1,No,4.96,Fair,528200.0
Los Angeles,Downtown,2034.0,4,2,1961,2,No,1.04,Fair,442000.0
Los Angeles,Rural,549.0,4,3,1956,1,No,26.13,Fair,175300.0
New York,Suburb,2393.0,2,3,1966,3,Yes,6.26,Fair,439600.0
Los Angeles,Downtown,3638.0,5,1,2014,2,No,1.75,Fair,692000.0
Phoenix,Suburb,3241.0,5,1,2013,3,Yes,5.22,Good,657500.0
Los Angeles,Rural,3272.0,4,3,1975,1,Yes,11.83,Fair,603600.0
Houston,Urban,3489.0,2,1,1964,3,No,6.97,Excellent,602200.0
Houston,Suburb,2571.0,5,3,1982,2,No,9.5,Fair,531300.0
Houston,Rural,2658.0,2,3,2011,1,Yes,29.27,Fair,485600.0
Houston,Downtown,2006.0,2,2,1996,1,Yes,21.28,Fair,372500.0
Phoenix,Suburb,2247.0,4,1,1984,0,No,21.51,Good,413800.0
Chicago,Suburb,2993.0,4,1,2014,0,Yes,3.29,Good,555900.0
New York,Downtown,3463.0,1,1,2021,3,Yes,22.1,Excellent,564700.0
Houston,Urban,2388.0,5,2,1974,0,Yes,22.31,Good,471300.0
Los Angeles,Downtown,2140.0,5,2,2006,0,Yes,19.96,Excellent,458300.0
Houston,Suburb,2500.0,5,2,1981,0,No,7.24,Good,527100.0
Los Angeles,Downtown,2981.0,3,1,2012,0,No,12.98,Poor,520500.0
Los Angeles,Rural,1345.0,2,1,1961,2,Yes,25.47,Excellent,230200.0
Houston,Downtown,663.0,4,1,2012,2,Yes,20.27,Excellent,209000.0
Phoenix,Suburb,2060.0,5,2,1950,0,Yes,22.12,Excellent,418700.0
Los Angeles,Downtown,1523.0,1,2,2000,3,No,17.83,Fair,262000.0
Los Angeles,Urban,2093.0,5,3,2019,2,No,13.76,Good,496200.0
Houston,Downtown,2382.0,2,2,1957,0,Yes,22.89,Fair,404500.0
Los Angeles,Urban,2137.0,2,3,2017,2,Yes,2.5,Fair,455400.0
Los Angeles,Rural,3662.0,4,1,1954,1,Yes,20.36,Good,605100.0
Houston,Urban,2761.0,3,2,1988,2,No,29.92,Excellent,487700.0
Houston,Downtown,2740.0,4,1,1972,2,Yes,23.52,Good,457100.0
New York,Suburb,2998.0,5,1,2017,3,Yes,9.07,Excellent,580300.0
Phoenix,Urban,1589.0,1,1,2001,2,Yes,8.7,Poor,313400.0
Phoenix,Rural,3331.0,4,1,1953,3,Yes,20.18,Poor,579400.0
Los Angeles,Urban,2439.0,3,2,1996,1,Yes,26.93,Good,442400.0
Phoenix,Urban,3036.0,4,1,1970,0,No,17.55,Fair,552500.0
Los Angeles,Urban,1643.0,2,3,2005,3,No,16.06,Excellent,355000.0
New York,Rural,1257.0,5,2,2015,2,No,5.23,Fair,365000.0
Houston,Downtown,3154.0,5,1,2008,2,Yes,21.61,Good,583600.0
Houston,Urban,2801.0,5,2,1956,3,No,21.22,Good,510500.0
Houston,Urban,1778.0,5,3,1998,1,Yes,29.03,Fair,380700.0
Phoenix,Suburb,2499.0,5,1,1965,0,No,9.36,Excellent,408500.0
New York,Rural,3400.0,5,3,1966,2,No,22.82,Good,611200.0
Phoenix,Urban,1548.0,1,1,1983,1,Yes,13.3,Good,277500.0
Phoenix,Rural,3814.0,3,3,1982,0,Yes,16.97,Excellent,679500.0
New York,Urban,1780.0,5,1,1975,0,Yes,24.59,Fair,380300.0
New York,Downtown,3011.0,3,2,2015,2,No,7.05,Excellent,580400.0
New York,Downtown,2237.0,5,1,2012,3,Yes,10.61,Fair,467000.0
New York,Urban,2983.0,4,2,1990,2,No,23.31,Fair,537700.0
Houston,Downtown,2065.0,5,1,2007,2,No,17.33,Excellent,431500.0
Chicago,Urban,2370.0,2,1,1959,2,No,3.23,Excellent,438500.0
Chicago,Downtown,2533.0,1,3,1964,1,Yes,13.19,Fair,450700.0
New York,Suburb,1698.0,4,3,1991,3,Yes,17.81,Good,361300.0
Chicago,Suburb,2499.0,4,3,2006,1,Yes,27.33,Excellent,579500.0
Chicago,Suburb,2089.0,2,1,1966,2,No,6.06,Fair,389600.0
New York,Rural,2317.0,5,1,2009,3,No,24.28,Poor,452900.0
Chicago,Rural,1705.0,1,1,1958,0,Yes,4.35,Good,266700.0
Phoenix,Suburb,517.375,4,2,1985,3,No,7.65,Fair,189800.0
Los Angeles,Rural,2347.0,1,2,2022,2,No,7.68,Fair,413400.0
Los Angeles,Downtown,4430.0,4,1,1985,3,No,26.39,Excellent,712600.0
New York,Urban,3128.0,5,3,1997,0,Yes,6.37,Poor,653900.0
Houston,Urban,2485.0,4,3,2000,0,No,23.72,Excellent,526100.0
New York,Urban,2290.0,4,3,2019,3,No,14.12,Good,508200.0
Houston,Suburb,2518.0,3,1,2023,0,Yes,29.97,Good,403100.0
Los Angeles,Rural,2938.0,5,3,2017,1,Yes,25.25,Good,579100.0
New York,Downtown,1555.0,2,1,1971,3,Yes,22.32,Good,258300.0
Phoenix,Downtown,3391.0,2,2,1955,0,Yes,26.19,Fair,519700.0
Chicago,Suburb,3072.0,5,3,1975,0,Yes,19.2,Fair,599900.0
Houston,Downtown,3075.0,2,2,1952,3,Yes,25.39,Good,491700.0
Chicago,Downtown,2851.0,5,3,2001,1,No,8.2,Fair,577300.0
Chicago,Downtown,2516.0,2,1,2023,3,No,3.38,Poor,444300.0
New York,Downtown,3038.0,3,1,2009,0,No,18.67,Excellent,526700.0
Chicago,Rural,2973.0,2,1,2012,3,No,13.32,Excellent,518400.0
Phoenix,Downtown,2217.0,4,1,2014,0,Yes,13.08,Fair,444600.0
Chicago,Urban,2499.0,5,3,2001,2,No,16.04,Poor,473500.0
New York,Suburb,2581.0,1,2,1963,3,Yes,11.16,Good,439400.0
Phoenix,Rural,3739.0,1,1,2021,3,Yes,18.97,Excellent,601200.0
Los Angeles,Downtown,1509.0,5,3,2017,0,No,1.4,Fair,402800.0
Chicago,Rural,2499.0,3,2,1977,0,No,29.11,Fair,230600.0
New York,Downtown,2632.0,2,1,2020,0,Yes,27.78,Excellent,425900.0
Los Angeles,Urban,2541.0,3,2,1959,0,Yes,28.09,Excellent,452800.0
Los Angeles,Suburb,2639.0,1,1,2006,3,Yes,11.27,Good,462300.0
Houston,Downtown,2695.0,5,2,2015,0,Yes,16.19,Fair,551700.0
Phoenix,Downtown,2321.0,5,2,1999,3,No,28.65,Good,450900.0
Chicago,Downtown,3692.0,3,1,1963,1,Yes,27.12,Good,612700.0
New York,Downtown,1219.0,3,3,1965,3,No,23.81,Fair,245600.0
Houston,Suburb,1837.0,2,2,2003,0,Yes,12.52,Fair,345000.0
Phoenix,Suburb,2417.0,4,1,1992,0,Yes,17.15,Fair,455800.0
Houston,Urban,1185.0,4,2,1991,1,Yes,23.89,Good,240700.0
Phoenix,Suburb,2359.0,2,2,1971,3,No,8.55,Good,414700.0
Phoenix,Downtown,3829.0,4,3,2017,1,Yes,18.98,Excellent,704300.0
Chicago,Urban,2517.0,1,2,1968,3,No,24.92,Good,392800.0
Phoenix,Urban,2685.0,4,2,2015,0,No,21.37,Excellent,500700.0
Houston,Urban,1492.0,2,1,1988,3,No,14.64,Excellent,312100.0
Phoenix,Downtown,2007.0,4,1,2022,0,Yes,17.75,Fair,430000.0
Chicago,Rural,2200.0,5,3,1968,0,No,29.67,Fair,463400.0
Chicago,Downtown,2246.0,3,2,1986,2,No,18.26,Good,409400.0
Houston,Suburb,3525.0,1,2,2003,2,Yes,23.68,Poor,563600.0
Los Angeles,Suburb,2946.0,5,2,1974,3,Yes,21.93,Excellent,577100.0
Los Angeles,Downtown,1611.0,5,3,1967,0,No,21.19,Poor,367000.0
Phoenix,Downtown,2697.0,2,2,1972,1,No,21.63,Fair,439400.0
